number,district,population_total,men_est,women_est,avg_age_men,avg_age_women,área_ha,densidad_res_por_ha
1,Ciutat Vella,114359,51644,56666,43.83,49.53,436.8,261.81
2,Eixample,277308,129325,141898,46.18,42.41,746.4,371.53
3,Sants-Montjuïc,195817,90463,99259,45.33,41.66,2288.0,85.58
4,Les Corts,83983,39541,43386,47.73,43.67,601.1,139.72
5,Sarrià-Sant Gervasi,152990,71703,78674,45.04,41.04,1991.1,76.84
6,Gràcia,126996,59345,65115,45.58,41.86,418.6,303.40
7,Horta-Guinardó,182448,85276,93567,46.63,42.77,1194.7,152.71
8,Nou Barris,182039,85063,93333,45.72,41.84,800.0,227.55
9,Sant Andreu,157228,73346,80482,46.24,42.56,656.5,239.50
10,Sant Martí,252299,117733,129566,45.44,42.08,1052.4,239.75
